Week,Date,Close Price,Volume,,,,,,
2,2019/12/31,588.302,12.326B,,,,,,
1,2019/12/30,584.19208,15.597B,,,,,,
5,2019/12/27,575.34802,15.093B,,,,,,
4,2019/12/26,575.39594,10.886B,,,,,,
3,2019/12/25,570.98853,9.494B,,,,,,
2,2019/12/24,570.24335,9.599B,,,,,,
1,2019/12/23,566.19415,12.282B,,,,,,
5,2019/12/20,573.43451,12.127B,,,,,,
4,2019/12/19,575.04413,11.79B,,,,,,
3,2019/12/18,576.23535,15.135B,,,,,,
2,2019/12/17,577.94495,20.116B,,,,,,
1,2019/12/16,570.25226,14.849B,,,,,,
5,2019/12/13,567.39124,14.857B,,,,,,
4,2019/12/12,557.06226,8.471B,,,,,,
3,2019/11/12,554.46228,9.977B,,,,,,
2,2019/10/12,554.48077,8.626B,,,,,,
1,2019/9/12,553.38556,9.535B,,,,,,
5,2019/6/12,554.68634,7.865B,,,,,,
4,2019/5/12,550.67059,8.905B,,,,,,
3,2019/4/12,546.08136,7.968B,,,,,,
2,2019/3/12,545.38702,7.361B,,,,,,
1,2019/2/12,544.94891,7.741B,,,,,,
5,2019/11/29,544.41754,7.414B,,,,,,
4,11/28/2019,548.98907,6.523B,,,,,,
3,11/27/2019,551.37561,7.644B,,,,,,
2,2019/11/26,553.30249,11.151B,,,,,,
1,11/25/2019,551.16339,10.607B,,,,,,
5,11/22/2019,546.93628,9.104B,,,,,,
4,11/21/2019,553.34076,6.913B,,,,,,
3,11/20/2019,555.42566,7.682B,,,,,,
2,11/19/2019,561.64819,8.216B,,,,,,
1,11/18/2019,556.20966,7.665B,,,,,,
5,11/15/2019,553.20599,8.373B,,,,,,
4,11/14/2019,556.32648,8.701B,,,,,,
3,11/13/2019,555.26807,7.675B,,,,,,
2,2019/12/11,557.0412,7.654B,,,,,,
1,2019/11/11,556.73322,9.416B,,,,,,
5,2019/8/11,567.8894,9.711B,,,,,,
4,2019/7/11,572.03229,8.725B,,,,,,
3,2019/6/11,569.41528,9.731B,,,,,,
2,2019/5/11,571.03912,11.291B,,,,,,
1,2019/4/11,565.84576,10.419B,,,,,,
5,2019/1/11,561.62604,10.069B,,,,,,
4,10/31/2019,552.19745,8.671B,,,,,,
3,10/30/2019,551.52454,7.787B,,,,,,
2,10/29/2019,553.40173,8.226B,,,,,,
1,10/28/2019,555.55255,9.741B,,,,,,
5,10/25/2019,551.5083,7.745B,,,,,,
4,10/24/2019,547.54749,7.133B,,,,,,
3,10/23/2019,547.88477,7.02B,,,,,,
2,10/22/2019,550.49115,6.892B,,,,,,
1,10/21/2019,548.42786,7.418B,,,,,,
5,10/18/2019,546.39111,8.232B,,,,,,
4,10/17/2019,554.61359,6.486B,,,,,,
3,10/16/2019,552.98224,8.323B,,,,,,
2,10/15/2019,555.82617,8.527B,,,,,,
1,10/14/2019,559.34705,12.239B,,,,,,
5,2019/11/10,551.86505,9.341B,,,,,,
4,2019/10/10,544.4585,7.922B,,,,,,
3,2019/9/10,538.84235,7.585B,,,,,,
2,2019/8/10,537.15906,7.666B,,,,,,
1,09/30/2019,533.61981,6.593B,,,,,,
5,09/27/2019,540.89026,7.4B,,,,,,
4,09/26/2019,538.53278,10.27B,,,,,,
3,09/25/2019,542.78558,8.952B,,,,,,
2,09/24/2019,548.1734,8.778B,,,,,,
1,09/23/2019,546.55646,9.404B,,,,,,
5,09/20/2019,554.96582,10.346B,,,,,,
4,09/19/2019,553.01807,8.598B,,,,,,
3,09/18/2019,551.80414,8.206B,,,,,,
2,09/17/2019,548.68524,11.369B,,,,,,
1,09/16/2019,560.00385,11.026B,,,,,,
4,2019/12/9,561.11816,11.024B,,,,,,
3,2019/11/9,552.23627,13.159B,,,,,,
2,2019/10/9,556.64795,13.089B,,,,,,
1,2019/9/9,557.8338,14.681B,,,,,,
5,2019/6/9,554.90088,12.188B,,,,,,
4,2019/5/9,549.09607,18.166B,,,,,,
3,2019/4/9,543.80084,12.663B,,,,,,
2,2019/3/9,536.78192,9.771B,,,,,,
