date_string,adjclose,t,return,Lag1,Lag2,Lag3,Lag4,Lag5,movement
2010/1/12,22326.641,7,-0.0037873,0.0051474,0.0012259,-0.0065675,0.0061532,0.0209089,0
2010/1/13,21748.6,8,-0.0258902,-0.0037873,0.0051474,0.0012259,-0.0065675,0.0061532,0
2010/1/14,21716.949,9,-0.0014553,-0.0258902,-0.0037873,0.0051474,0.0012259,-0.0065675,0
2010/1/15,21654.16,10,-0.0028912,-0.0014553,-0.0258902,-0.0037873,0.0051474,0.0012259,0
2010/1/18,21460.01,11,-0.008966,-0.0028912,-0.0014553,-0.0258902,-0.0037873,0.0051474,0
2010/1/19,21677.98,12,0.0101571,-0.008966,-0.0028912,-0.0014553,-0.0258902,-0.0037873,1
2010/1/20,21286.17,13,-0.0180741,0.0101571,-0.008966,-0.0028912,-0.0014553,-0.0258902,0
2010/1/21,20862.67,14,-0.0198955,-0.0180741,0.0101571,-0.008966,-0.0028912,-0.0014553,0
2010/1/22,20726.18,15,-0.0065423,-0.0198955,-0.0180741,0.0101571,-0.008966,-0.0028912,0
2010/1/25,20598.551,16,-0.0061579,-0.0065423,-0.0198955,-0.0180741,0.0101571,-0.008966,0
2010/1/26,20109.33,17,-0.0237502,-0.0061579,-0.0065423,-0.0198955,-0.0180741,0.0101571,0
2010/1/27,20033.07,18,-0.0037923,-0.0237502,-0.0061579,-0.0065423,-0.0198955,-0.0180741,0
2010/1/28,20356.369,19,0.0161383,-0.0037923,-0.0237502,-0.0061579,-0.0065423,-0.0198955,1
2010/1/29,20121.99,20,-0.0115138,0.0161383,-0.0037923,-0.0237502,-0.0061579,-0.0065423,0
2010/2/1,20243.75,21,0.0060511,-0.0115138,0.0161383,-0.0037923,-0.0237502,-0.0061579,1
2010/2/2,20272.18,22,0.0014044,0.0060511,-0.0115138,0.0161383,-0.0037923,-0.0237502,1
2010/2/3,20722.08,23,0.022193,0.0014044,0.0060511,-0.0115138,0.0161383,-0.0037923,1
2010/2/4,20341.641,24,-0.0183591,0.022193,0.0014044,0.0060511,-0.0115138,0.0161383,0
2010/2/5,19665.08,25,-0.0332599,-0.0183591,0.022193,0.0014044,0.0060511,-0.0115138,0
2010/2/8,19550.891,26,-0.0058067,-0.0332599,-0.0183591,0.022193,0.0014044,0.0060511,0
2010/2/9,19790.279,27,0.0122444,-0.0058067,-0.0332599,-0.0183591,0.022193,0.0014044,1
2010/2/10,19922.221,28,0.006667,0.0122444,-0.0058067,-0.0332599,-0.0183591,0.022193,1
2010/2/11,20290.689,29,0.0184954,0.006667,0.0122444,-0.0058067,-0.0332599,-0.0183591,1
2010/2/12,20268.689,30,-0.0010842,0.0184954,0.006667,0.0122444,-0.0058067,-0.0332599,0
2010/2/17,20534.01,31,0.0130902,-0.0010842,0.0184954,0.006667,0.0122444,-0.0058067,1
2010/2/18,20422.15,32,-0.0054475,0.0130902,-0.0010842,0.0184954,0.006667,0.0122444,0
2010/2/19,19894.02,33,-0.0258607,-0.0054475,0.0130902,-0.0010842,0.0184954,0.006667,0
2010/2/22,20377.27,34,0.0242912,-0.0258607,-0.0054475,0.0130902,-0.0010842,0.0184954,1
2010/2/23,20623,35,0.012059,0.0242912,-0.0258607,-0.0054475,0.0130902,-0.0010842,1
2010/2/24,20467.74,36,-0.0075285,0.012059,0.0242912,-0.0258607,-0.0054475,0.0130902,0
2010/2/25,20399.57,37,-0.0033306,-0.0075285,0.012059,0.0242912,-0.0258607,-0.0054475,0
2010/2/26,20608.699,38,0.0102516,-0.0033306,-0.0075285,0.012059,0.0242912,-0.0258607,1
2010/3/1,21056.93,39,0.0217496,0.0102516,-0.0033306,-0.0075285,0.012059,0.0242912,1
2010/3/2,20906.109,40,-0.0071625,0.0217496,0.0102516,-0.0033306,-0.0075285,0.012059,0
2010/3/3,20876.789,41,-0.0014025,-0.0071625,0.0217496,0.0102516,-0.0033306,-0.0075285,0
2010/3/4,20575.779,42,-0.0144184,-0.0014025,-0.0071625,0.0217496,0.0102516,-0.0033306,0
