date,close,t,r
2000/1/3,17369.631,1,
2000/1/4,17072.82,2,-.0170879
2000/1/5,15846.72,3,-.0718159
2000/1/6,15153.23,4,-.0437623
2000/1/7,15405.63,5,.0166565
2000/1/10,15848.15,6,.0287246
2000/1/11,15862.1,7,.0008802
2000/1/12,15714.2,8,-.0093241
2000/1/13,15633.96,9,-.0051062
2000/1/14,15542.23,10,-.0058673
2000/1/17,15574.56,11,.0020801
2000/1/18,15789.2,12,.0137815
2000/1/19,15275.34,13,-.0325451
2000/1/20,15215.31,14,-.0039299
2000/1/21,15108.41,15,-.0070258
2000/1/24,15167.55,16,.0039144
2000/1/25,15103.04,17,-.0042531
2000/1/26,15427.72,18,.0214976
2000/1/27,15917.81,19,.0317668
2000/1/28,16185.94,20,.0168447
2000/1/31,15532.34,21,-.0403808
2000/2/1,15653.86,22,.0078237
2000/2/2,15789.82,23,.0086854
2000/2/3,15968.12,24,.0112921
2000/2/8,16228.73,25,.0163207
2000/2/9,16819.461,26,.0364003
2000/2/10,16845.17,27,.0015285
2000/2/11,17380.301,28,.0317676
2000/2/14,17188.961,29,-.011009
2000/2/15,16688.16,30,-.029135
2000/2/16,17043.391,31,.0212864
2000/2/17,16981.23,32,-.0036472
2000/2/18,16599.16,33,-.0224996
2000/2/21,16322.37,34,-.0166749
2000/2/22,16255.17,35,-.0041171
2000/2/23,16376.79,36,.0074819
2000/2/24,17058.66,37,.0416364
2000/2/25,17200.98,38,.008343
2000/2/28,16984.439,39,-.0125889
2000/2/29,17169.439,40,.0108923
2000/3/1,16843.59,41,-.0189785
2000/3/2,16936.811,42,.0055345
2000/3/3,17285.24,43,.0205723
2000/3/6,17758.76,44,.0273944
2000/3/7,17865.359,45,.0060026
2000/3/8,17951.43,46,.0048177
2000/3/9,17637.029,47,-.0175139
2000/3/10,17831.859,48,.0110466
2000/3/13,17096.68,49,-.0412284
2000/3/14,16929.16,50,-.0097984
2000/3/15,16747.199,51,-.0107484
2000/3/16,16359,52,-.0231799
2000/3/17,17082.99,53,.0442564
2000/3/20,17234.461,54,.0088668
2000/3/21,17199.98,55,-.0020007
2000/3/22,17547.039,56,.0201778
2000/3/23,17715.58,57,.0096051
2000/3/24,17784.57,58,.0038943
2000/3/27,18292.859,59,.0285803
2000/3/28,18301.689,60,.0004827
2000/3/29,18096.369,61,-.0112187
2000/3/30,17467.15,62,-.0347704
2000/3/31,17406.539,63,-.00347
2000/4/3,16892.93,64,-.0295067
2000/4/5,16318.44,65,-.0340077
2000/4/6,16491.391,66,.0105985
2000/4/7,16941.68,67,.0273045
2000/4/10,16850.74,68,-.0053678
2000/4/11,16487.66,69,-.0215468
2000/4/12,16577.09,70,.005424
2000/4/13,16352.56,71,-.0135446
2000/4/14,16142.76,72,-.0128298
2000/4/17,14762.37,73,-.0855114
2000/4/18,15278.32,74,.0349504
2000/4/19,15427.2,75,.0097445
2000/4/20,15367.14,76,-.0038932
2000/4/25,15380.01,77,.0008375
2000/4/26,15227.39,78,-.0099233
2000/4/27,15192.87,79,-.0022669
2000/4/28,15519.3,80,.0214857
2000/5/2,15817.76,81,.0192315
2000/5/3,15577.47,82,-.0151912
2000/5/4,15314.07,83,-.016909
2000/5/5,15268.64,84,-.0029666
2000/5/8,14901,85,-.0240781
2000/5/9,14776.9,86,-.0083283
2000/5/10,14492.92,87,-.0192179
2000/5/12,15111.94,88,.0427119
2000/5/15,14881.3,89,-.0152621
2000/5/16,15160.29,90,.0187477
2000/5/17,14827.81,91,-.021931
2000/5/18,14322.6,92,-.0340718
2000/5/19,14478.26,93,.0108681
2000/5/22,14140.73,94,-.0233128
2000/5/23,14257.18,95,.008235
2000/5/24,13933.98,96,-.0226692
2000/5/25,13921.06,97,-.0009273
2000/5/26,13722.7,98,-.0142489
2000/5/29,13975.07,99,.0183907
2000/5/30,13990.9,100,.0011327
2000/5/31,14713.86,101,.0516736
2000/6/1,14941.19,102,.0154501
2000/6/2,15284.1,103,.0229506
2000/6/5,15861.68,104,.0377896
2000/6/7,15900.06,105,.0024197
2000/6/8,15876.93,106,-.0014547
2000/6/9,16120.26,107,.015326
2000/6/12,16055.05,108,-.0040452
2000/6/13,15692.94,109,-.0225542
2000/6/14,15857.07,110,.0104588
2000/6/15,16080.34,111,.0140801
2000/6/16,16434.381,112,.022017
2000/6/19,16267.47,113,-.0101562
2000/6/20,16086.74,114,-.0111099
2000/6/21,16238.14,115,.0094114
2000/6/22,15952.36,116,-.0175993
2000/6/23,15738.08,117,-.0134325
2000/6/26,15978.91,118,.0153024
2000/6/27,16155.77,119,.0110683
2000/6/28,16438.42,120,.0174953
2000/6/29,16286.8,121,-.0092235
2000/6/30,16155.78,122,-.0080445
2000/7/3,16124.97,123,-.0019071
2000/7/4,16235.76,124,.0068707
2000/7/5,16474.27,125,.0146904
2000/7/6,16489.59,126,.00093
2000/7/7,16829.961,127,.0206416
2000/7/10,17238.67,128,.0242846
2000/7/11,17359.66,129,.0070185
2000/7/12,17552.26,130,.0110947
2000/7/13,17449.5,131,-.0058545
2000/7/14,17586.16,132,.0078318
2000/7/17,17834.779,133,.0141372
2000/7/18,17440.83,134,-.0220888
2000/7/19,17710.07,135,.0154374
2000/7/20,17758.51,136,.0027351
2000/7/21,17920.859,137,.0091421
2000/7/24,17659.689,138,-.0145735
2000/7/25,17375.34,139,-.0161016
2000/7/26,17620.23,140,.0140941
2000/7/27,17450.09,141,-.009656
2000/7/28,17183.93,142,-.0152527
2000/7/31,16840.98,143,-.0199576
2000/8/1,16897.449,144,.0033531
2000/8/2,17277.391,145,.0224851
2000/8/3,17274.279,146,-.0001801
2000/8/4,17425.699,147,.0087656
2000/8/7,17727.25,148,.0173049
2000/8/8,17211.84,149,-.0290745
2000/8/9,17181.99,150,-.0017342
2000/8/10,17333.211,151,.0088011
2000/8/11,17214.42,152,-.0068534
2000/8/14,16998.061,153,-.0125685
2000/8/15,17463.529,154,.0273836
2000/8/16,17734.15,155,.0154964
2000/8/17,17622.01,156,-.0063234
2000/8/18,17440,157,-.0103285
2000/8/21,17501.48,158,.0035253
2000/8/22,17668.279,159,.0095306
2000/8/23,17427.4,160,-.0136334
2000/8/24,17439.699,161,.0007057
2000/8/25,17236.74,162,-.0116378
2000/8/28,17019.76,163,-.0125883
2000/8/29,17240.109,164,.0129467
2000/8/30,17095.881,165,-.0083659
2000/8/31,17097.51,166,.0000953
2000/9/1,17333.609,167,.013809
2000/9/4,17726.17,168,.0226474
2000/9/5,17595.221,169,-.0073873
2000/9/6,17605.23,170,.0005689
2000/9/7,17431.949,171,-.0098426
2000/9/8,17275.449,172,-.0089778
2000/9/11,17007.98,173,-.0154826
2000/9/12,16629.779,174,-.0222367
2000/9/14,16395.43,175,-.0140922
2000/9/15,16249.53,176,-.0088988
2000/9/18,15560.16,177,-.042424
2000/9/19,15677.2,178,.0075218
2000/9/20,15665.62,179,-.0007387
2000/9/21,15164.45,180,-.0319917
2000/9/22,14612.88,181,-.0363726
2000/9/25,15428.95,182,.055846
2000/9/26,15290.85,183,-.0089507
2000/9/27,15444.13,184,.0100243
2000/9/28,15415.75,185,-.0018376
2000/9/29,15648.98,186,.0151294
2000/10/3,15725.96,187,.0049191
2000/10/4,15878.89,188,.0097247
2000/10/5,16184.68,189,.0192576
2000/10/9,15693.5,190,-.0303484
2000/10/10,15554.11,191,-.008882
2000/10/11,15127,192,-.0274596
2000/10/12,15074.8,193,-.0034508
2000/10/13,14680.5,194,-.0261562
2000/10/16,14973.4,195,.0199517
2000/10/17,14873.43,196,-.0066766
2000/10/18,14458.52,197,-.0278961
2000/10/19,14422.52,198,-.0024899
2000/10/20,15044.53,199,.0431277
2000/10/23,15102.36,200,.0038439
2000/10/24,14925.93,201,-.0116823
2000/10/25,15061.14,202,.0090587
2000/10/26,14996.24,203,-.0043091
2000/10/27,14902.46,204,-.0062536
2000/10/30,14799.9,205,-.0068821
2000/10/31,14895.34,206,.0064487
2000/11/1,15349.01,207,.0304572
2000/11/2,15291.54,208,-.0037442
2000/11/3,15594.12,209,.0197874
2000/11/6,15671.15,210,.0049397
2000/11/7,15820.79,211,.0095487
2000/11/8,15654.13,212,-.0105343
2000/11/9,15504.8,213,-.0095393
2000/11/10,15389.39,214,-.0074435
2000/11/13,14815.69,215,-.0372789
2000/11/14,15177.52,216,.024422
2000/11/15,15127.4,217,-.0033022
2000/11/16,15298.35,218,.0113006
2000/11/17,15180.85,219,-.0076806
2000/11/20,15346.66,220,.0109223
2000/11/21,15188.3,221,-.0103189
2000/11/22,14772.51,222,-.0273757
2000/11/23,14563.51,223,-.0141479
2000/11/24,14376.9,224,-.0128135
2000/11/27,14602.76,225,.0157099
2000/11/28,14566.22,226,-.0025023
2000/11/29,14169.06,227,-.0272658
2000/11/30,13984.39,228,-.0130333
2000/12/1,14441.43,229,.0326822
2000/12/4,14559.24,230,.0081578
2000/12/5,14573.21,231,.0009595
2000/12/6,15098.95,232,.0360758
2000/12/7,15011.52,233,-.0057905
2000/12/8,15189.33,234,.0118449
2000/12/11,15408.54,235,.0144318
2000/12/12,15329.6,236,-.0051232
2000/12/13,15621.73,237,.0190567
2000/12/14,15496.99,238,-.007985
2000/12/15,14975.53,239,-.0336491
2000/12/18,15024.53,240,.003272
2000/12/19,15188.04,241,.0108829
2000/12/20,14930.72,242,-.0169423
2000/12/21,14659.32,243,-.0181773
2000/12/22,14738.21,244,.0053815
2000/12/27,14748.36,245,.0006887
2000/12/28,14796.55,246,.0032674
2000/12/29,15095.53,247,.0202061
2001/1/2,14869.94,248,-.0149441
2001/1/3,14589.58,249,-.0188542
2001/1/4,15235.03,250,.0442405
2001/1/5,15447.61,251,.0139534
2001/1/8,15436.53,252,-.0007173
2001/1/9,15500.59,253,.0041499
2001/1/10,15435.79,254,-.0041805
2001/1/11,15090.77,255,-.022352
2001/1/12,15295.42,256,.0135613
2001/1/15,15293.76,257,-.0001085
2001/1/16,15363.15,258,.0045372
2001/1/17,15261.48,259,-.0066178
2001/1/18,15528.75,260,.0175127
2001/1/19,15933.55,261,.0260678
2001/1/22,16099.27,262,.0104007
2001/1/23,16044.21,263,-.00342
2001/1/29,16099.82,264,.0034661
2001/1/30,15893.07,265,-.0128418
2001/1/31,16102.35,266,.013168
2001/2/1,16163.99,267,.0038281
2001/2/2,16071.29,268,-.005735
2001/2/5,15830.84,269,-.0149615
2001/2/6,15913.24,270,.0052051
2001/2/7,16049.47,271,.0085608
2001/2/8,15909.4,272,-.0087274
2001/2/9,15873.28,273,-.0022704
2001/2/12,15693.11,274,-.0113505
2001/2/13,15842.72,275,.0095334
2001/2/14,15860.42,276,.0011172
2001/2/15,15756.37,277,-.0065603
2001/2/16,15630.31,278,-.0080006
2001/2/19,15490.96,279,-.0089153
2001/2/20,15527.36,280,.0023498
2001/2/21,15351.51,281,-.0113252
2001/2/22,15098.64,282,-.016472
2001/2/23,15280.56,283,.0120488
2001/2/26,15230.22,284,-.0032944
2001/2/27,14834.73,285,-.0259674
2001/2/28,14787.87,286,-.0031588
2001/3/1,14360.56,287,-.028896
2001/3/2,13966.43,288,-.0274453
2001/3/5,14135.26,289,.0120883
2001/3/6,14321.05,290,.0131437
2001/3/7,14177.36,291,-.0100334
2001/3/8,14208.95,292,.0022282
2001/3/9,14194.35,293,-.0010276
2001/3/12,13776.72,294,-.0294223
2001/3/13,13493.03,295,-.0205919
2001/3/14,13330.84,296,-.0120203
2001/3/15,13504.17,297,.0130022
2001/3/16,13522.04,298,.0013233
2001/3/19,13457.69,299,-.0047589
2001/3/20,13223.86,300,-.0173752
2001/3/21,13154.44,301,-.0052496
2001/3/22,12621.85,302,-.0404875
2001/3/23,12583.36,303,-.0030494
2001/3/26,12950.49,304,.0291758
2001/3/27,12707.9,305,-.0187321
2001/3/28,12851.41,306,.011293
2001/3/29,12677.89,307,-.0135021
2001/3/30,12760.64,308,.0065271
2001/4/2,12727.3,309,-.0026127
2001/4/3,12584.22,310,-.011242
2001/4/4,12063.71,311,-.0413621
2001/4/6,12386.61,312,.0267663
2001/4/9,12202.1,313,-.014896
2001/4/10,12213.67,314,.0009482
2001/4/11,12706.43,315,.0403449
2001/4/12,12989.47,316,.0222753
2001/4/17,12606.45,317,-.0294869
2001/4/18,12972.8,318,.0290605
2001/4/19,13548.95,319,.0444122
2001/4/20,13448.13,320,-.0074412
2001/4/23,13311.5,321,-.0101598
2001/4/24,13274.61,322,-.0027713
2001/4/25,13249.55,323,-.0018879
2001/4/26,13293.11,324,.0032877
2001/4/27,13386.04,325,.0069908
