,Actual,Predicted
1720,0.0083755,0.000371607
1721,-0.0046361,0.001065505
1722,0.0047466,0.000647304
1723,-0.0095578,-0.000440349
1724,0.0054063,0.000341008
1725,0.0112644,0.000653815
1726,-0.002091,-3.721E-05
1727,-0.0071172,0.001390162
1728,0.000551,0.002157346
1729,0.0022421,6.79E-05
1730,0.0043251,0.000849693
1731,0.0141025,4.35E-05
1732,-0.0005729,-0.000128246
1733,-0.0018145,0.00017631
1734,-0.005741,-9.07E-05
1735,-0.0023856,0.000990939
1736,0.0094698,-0.000392875
1737,-0.000714,0.000422445
1738,0.0065817,-0.000405862
1739,0.0017036,-1.34E-05
1740,0.0021186,0.00069651
1741,0.0057688,0.000852309
1742,-0.0003362,0.000577441
1743,0.0123132,0.00083674
1744,0.0047023,0.000410478
1745,-0.0030679,0.000150326
1746,0.0046743,0.000952914
1747,-0.0075561,0.000455461
1748,0.0099455,0.000317625
1749,-0.0035989,0.000812423
1750,-0.0061854,-0.000313414
1751,-0.0016961,0.000851073
1752,-0.0077041,0.001708114
1753,0.0015063,-0.000823157
1754,-0.0020365,0.000521019
1755,-0.00739,-0.001059347
1756,0.0018494,-0.000105353
1757,0.0035934,0.001004769
1758,0.0042734,0.00023772
1759,-0.0118033,8.30E-06
1760,0.0028555,0.000155088
1761,0.011074,-0.000233937
1762,-7.22E-05,0.000307093
1763,-0.001473,0.00156751
1764,0.0208226,0.001314844
1765,0.0008914,0.000509496
1766,0.0079005,0.002525204
1767,0.0037192,-0.000259268
1768,-0.0110888,0.00023835
1769,0.0002997,-0.000478465
1770,0.0012566,0.000121087
1771,-0.0067562,0.000444912
1772,0.0062897,0.000665016
1773,0.0018969,0.001036737
1774,-0.0037291,0.000106659
1775,-0.007798,0.000443004
1776,0.0062165,0.001962624
1777,0.0057424,0.000322567
1778,-0.005208,0.000143281
1779,-0.0002645,-0.000414725
1780,-0.000211,0.001747508
1781,-0.0071601,0.000517501
1782,0.0093422,-2.56492E-05
1783,-0.0021321,0.000973496
1784,-0.0138952,-0.000249589
1785,-0.0041237,0.00112404
1786,0.0096995,0.002285868
1787,-0.0006219,0.000518251
1788,0.0040538,0.000415164
1789,0.0131096,-0.000210693
1790,0.0050086,0.00058359
1791,0.0048844,0.001334927
1792,-0.0033747,-6.6280124445E-05
1793,0.0032907,0.000589509
1794,-0.000496,-1.65241737E-05
1795,-0.0084076,0.000701622
1796,0.0041493,0.000194599
1797,0.0126585,0.000993249
1798,0.0050782,-7.077626708E-05
1799,0.0044025,6.9104317869E-05
1800,0.0012254,0.000435643
1801,0.0085565,0.000194593
1802,-0.0014051,0.000389049
1803,-0.0016699,0.000757427
1804,-0.0062115,0.000383339
1805,0.0015257,0.000980133
1806,0.0085987,0.000310277
1807,0.0004651,-1.219919097E-05
1808,0.0009979,-0.000176324
1809,0.0079548,0.000468904
1810,0.0003313,0.000443911
1811,0.0024323,0.001107759
1812,-0.0015945,0.000327851
1813,0.0057898,0.000914325
1814,0.0044492,0.000636565
1815,-0.0023554,0.000299319
1816,0.005187,0.000577627
1817,-0.000884,0.000620327
1818,0.0034226,0.000790518
