"","Actual Price","Forecasted Price","NA"
"1",22932.98,23877.0365752626,177
"2",23998.06,23766.4564217475,178
"3",23987.45,23810.5098084612,179
"4",23605.04,23993.2961467614,180
"5",24507.05,24005.5876909144,181
"6",24823.29,24250.9920691431,182
"7",24900.89,24376.5884852671,183
"8",28133,24339.960087057,184
"9",27424.19,24414.2049622335,185
"10",26250.03,24269.4113098112,186
"11",24636.28,24307.1696839554,187
"12",21670.58,24278.2496711713,188
"13",20846.3,24322.8608369903,189
"14",22640.04,24374.6417779465,190
"15",21996.42,24496.7383525829,191
"16",21914.4,24574.2937543723,192
"17",19683.11,24627.7315623272,193
"18",19111.93,24658.1401125294,194
"19",20776.7,24824.7738530555,195
"20",21067.05,24844.471676777,196
"21",20815.09,24920.6953607888,197
"22",20794.37,24977.4493500169,198
"23",21891.37,25030.2719877674,199
"24",22976.88,25083.6956094608,200
"25",23297.15,25159.5458667038,201
"26",22934.54,25240.5834776859,202
"27",22789.77,25286.8762794775,203
"28",22000.56,25339.1052686389,204
"29",23360.78,25411.7256611679,205
"30",23740.73,25476.3469259632,206
"31",24111.59,25502.7333065911,207
"32",24615.13,25590.9712018494,208
"33",25660.65,25652.4197806207,209
"34",25764.58,25735.9837155111,210
"35",27323.99,25808.485982088,211
"36",27970.3,25885.6940285656,212
"37",27554.3,25950.2943678575,213
"38",28245.54,26012.8553685312,214
"39",29018.76,26082.6727002145,215
"40",29919.15,26153.8196643687,216
"41",32887.27,26219.885726639,217
"42",30844.72,26290.5619315751,218
"43",30093.38,26365.1174811254,219
"44",30808.45,26428.8965843667,220
"45",30468.56,26498.1993237169,221
"46",28955.11,26561.4996174442,222
"47",28583.01,26629.131584826,223
"48",27888.55,26695.3540505657,224
"49",27788.52,26764.5926941698,225
"50",24979.69,26834.4210322808,226
"51",26506.75,26904.4345109729,227
"52",25845.7,26973.8285635929,228
"53",27942.47,27043.7955336123,229
"54",28633.18,27112.9905369344,230
"55",29051.36,27183.7828573007,231
"56",29699.11,27254.2032393033,232
"57",26901.09,27324.8562676173,233
"58",28542.62,27396.2805777902,234
"59",27777.75,27467.2468571403,235
"60",25724.73,27538.626012611,236
"61",26092.27,27610.1077288429,237
"62",26906.72,27681.7878813999,238
"63",26346.49,27753.156126242,239
"64",28189.75,27824.904271189,240
"65",26312.63,27897.0712890774,241
"66",26129.93,27969.442599251,242
"67",26291.68,28041.2554447878,243
