"","Actual Price","Forecasted Price"
"1",22150.4,22024.9806832194
"2",22134.471,22046.2054475388
"3",22456.689,22024.1406540378
"4",22503.01,22011.9337209533
"5",22558.689,22018.7870240983
"6",22744.85,22024.9379205386
"7",22935.35,22042.1018671365
"8",22829.02,22027.6268915434
"9",22937.381,22030.6536661252
"10",22718.15,22030.8095156651
"11",22840.971,22028.5873762201
"12",23098.26,22028.6633351001
"13",23049.961,22030.6048162328
"14",22885.91,22030.7071266209
"15",22898.52,22029.3462332614
"16",22949.859,22029.4569980382
"17",23049.119,22030.715136843
"18",23374.17,22030.795918362
"19",23360.779,22029.977184327
"20",23318.391,22030.1002073322
"21",23184.52,22030.9282609967
"22",23129.211,22031.0031466513
"23",23348.24,22030.5255700012
"24",23331.57,22030.6502400782
"25",23485.131,22031.2077134284
"26",23525.141,22031.2837013743
"27",23574.98,22031.0207153072
"28",23710.98,22031.1426072724
"29",23703.01,22031.5299181489
"30",23994.869,22031.6096253603
"31",24107.699,22031.4815649725
"32",24033.74,22031.5993113328
"33",24146.08,22031.8796534454
"34",23963.631,22031.9636026933
"35",24201.961,22031.920344448
"36",24114.859,22032.0339760476
"37",23965.699,22032.2471017876
"38",23925.051,22032.3349152123
"39",23740.73,22032.3449349398
"40",23776.49,22032.4550316171
"41",23728.07,22032.6259374929
"42",23552.721,22032.7169330125
"43",23596.279,22032.7604121257
"44",23681.07,22032.8676909717
"45",23782.27,22033.0120886446
"46",23501.561,22033.105557867
"47",23568.67,22033.1700418016
"48",23829.67,22033.2751753304
"49",23827.949,22033.4029364876
"50",23792.85,22033.4982582919
"51",24288.279,22033.5759233723
"52",24309.93,22033.6794737278
"53",24501.99,22033.7967982993
"54",24593.119,22033.8934717394
"55",24320.41,22033.9794052785
"56",24327.699,22034.081813423
"57",24358.27,22034.1925937228
"58",24193.699,22034.2902344745
"59",24345.869,22034.38135291
"60",24392.051,22034.4829510566
"61",24301.09,22034.5896296933
"62",24111.59,22034.6879525679
"63",24261.48,22034.7823212115
"64",24400.801,22034.8833527386
"65",24273.721,22034.9874619426
"66",24267.301,22035.0862602983
"67",24262.18,22035.1826657809
"68",24088.461,22035.28330536
"69",24313.5,22035.3858058974
"70",24261.66,22035.4849326627
"71",23924.539,22035.5826143119
"72",23825.881,22035.6829853459
"73",24056.98,22035.784479406
"74",24042.02,22035.8838313581
"75",24139.48,22035.9823124975
"76",24455.939,22036.0825010893
"77",24578.43,22036.1833659571
