Weeks,ap,fp_arima_521,fp_lin,fp_rad,ap_dir,arima_dir,lin_dir,rad_dir
708,22846.25,23253.45616,22736.92555,22814.40867,Up,Up,Down,Down
709,23133.35,23265.66728,22868.99766,23083.59456,Up,Up,Up,Up
710,22450.06,23271.17248,22414.58104,22367.00265,Down,Up,Down,Down
711,22035.42,23289.45238,22184.0921,22328.11672,Down,Up,Down,Down
712,21636.85,23301.44098,21887.05425,21785.5844,Down,Up,Down,Down
713,22298.41,23314.33437,22220.23619,22274.68638,Up,Up,Up,Up
714,22568.24,23327.06333,22391.88496,22358.65353,Up,Up,Up,Up
715,22836.96,23339.62316,22447.08779,22378.85536,Up,Up,Up,Up
716,22660.49,23352.38112,22538.57938,22311.03334,Down,Up,Up,Down
717,21539.49,23365.0522,21988.80482,21931.85874,Down,Up,Down,Down
718,21436.7,23377.74772,21867.22656,21816.89067,Down,Up,Down,Down
719,22065.53,23390.44749,22057.96063,22040.21041,Up,Up,Up,Up
720,22510.08,23403.15071,22267.61614,22188.32268,Up,Up,Up,Up
721,23003.64,23415.86376,22471.70735,22303.32042,Up,Up,Up,Up
722,22760.24,23428.58226,22438.71796,22254.59919,Down,Up,Down,Down
723,22223.53,23441.30799,22467.31046,22286.31023,Down,Up,Up,Up
724,22133.97,23454.04058,22408.42825,22313.496,Down,Up,Down,Up
725,21862.99,23466.78003,22062.33782,22023.35414,Down,Up,Down,Down
726,22712.91,23479.52645,22494.00793,22442.13346,Up,Up,Up,Up
727,22965.86,23492.27977,22721.0468,22589.70655,Up,Up,Up,Up
728,23081.65,23505.04001,22873.53204,22725.62343,Up,Up,Up,Up
729,22951,23517.80719,22949.91754,22775.32038,Down,Up,Up,Up
730,23319.17,23530.58131,23196.8634,23060.52191,Up,Up,Up,Up
731,23194.06,23543.36236,23419.78679,23312.51384,Down,Up,Up,Up
732,23221.52,23556.15035,23276.51898,23157.87736,Up,Up,Down,Down
733,23546.36,23568.94529,23648.81164,23510.8575,Up,Up,Up,Up
734,23233.45,23581.74718,23435.82585,23286.45222,Down,Up,Down,Down
735,23454.79,23594.55603,23680.262,23575.95707,Up,Up,Up,Up
736,24216.01,23607.37183,24110.29256,23982.97573,Up,Up,Up,Up
737,24532.43,23620.19459,24305.67616,24099.84067,Up,Up,Up,Up
738,24331.41,23633.02432,24281.22523,24128.76017,Down,Up,Down,Up
739,24954.94,23645.86101,24609.45577,24429.76351,Up,Up,Up,Up
740,25112.23,23658.70468,25001.62001,24838.59597,Up,Up,Up,Up
741,24742.06,23671.55533,25012.49072,24794.69275,Down,Up,Up,Down
742,25240.15,23684.41295,25224.87772,25056.76343,Up,Up,Up,Up
743,24595.32,23697.27756,24814.93207,24740.01335,Down,Up,Down,Down
744,24306.16,23710.14916,24367.61278,24420.61484,Down,Up,Down,Down
745,23678.41,23723.02774,24064.54476,24092.36974,Down,Up,Down,Down
746,22932.98,23735.91333,23559.86558,23587.91054,Down,Up,Down,Down
747,23088.54,23748.80591,23530.84413,23643.86943,Up,Up,Down,Up
748,23023.21,23761.70549,23097.83123,23258.16445,Down,Up,Down,Down
749,23302.2,23774.61208,23118.71966,23383.83084,Up,Up,Up,Up
750,23998.06,23787.52569,23534.12359,23448.59588,Up,Up,Up,Up
751,23550.24,23800.4463,23552.94044,23404.34679,Down,Up,Up,Down
752,24087.38,23813.37394,23926.38253,23934.61944,Up,Up,Up,Up
753,23437.12,23826.30859,23672.2779,23528.2248,Down,Up,Down,Down
754,23987.45,23839.25027,24131.96637,24148.67522,Up,Up,Up,Up
755,24002.64,23852.19898,23975.69119,23793.65304,Up,Up,Down,Down
756,23249.2,23865.15473,23327.14146,23267.77208,Down,Up,Down,Down
757,23116.63,23878.11751,23158.58327,23166.63238,Down,Up,Down,Down
758,23349.34,23891.08733,23295.81637,23417.41183,Up,Up,Up,Up
759,23605.04,23904.0642,23628.48293,23506.95984,Up,Up,Up,Up
760,23919.95,23917.04812,23753.92658,23638.30841,Up,Up,Up,Up
761,24103.52,23930.03908,23919.36613,23837.07312,Up,Up,Up,Up
762,24850.45,23943.03711,24435.17318,24399.00985,Up,Up,Up,Up
763,24507.05,23956.04219,24585.32248,24616.40996,Down,Up,Up,Up
764,24679.39,23969.05434,24745.79519,24620.58562,Up,Up,Up,Up
765,24682.54,23982.07356,24704.93748,24483.459,Up,Up,Down,Down
766,24784.88,23995.09985,24983.69882,24832.68898,Up,Up,Up,Up
