Date,Close,SMA,RSI,ROC,CCI,Weeks,MTM
1999/12/3,15840.41,14540.82,82.79,14.32,97.93,1,2977.33 
1999/12/10,16380.21,15061.37,85.87,21.47,112.02,2,3123.26 
1999/12/17,15986.35,15457.38,74.25,22.67,74.69,3,2376.08 
1999/12/24,16833.28,15897.98,80.91,32.2,98.8,4,2643.61 
1999/12/30,16962.1,16212.81,81.77,29.36,116.72,5,1889.00 
2000/1/7,15405.63,16234.66,49.45,25.26,-62.57,6,131.10 
2000/1/14,15542.23,16184.97,51.47,20.83,-101.56,7,-298.18 
2000/1/21,15108.41,15973,44.67,13.97,-116.85,8,-1271.80 
2000/1/28,16185.94,16006.27,60.31,18.92,-29.2,9,199.59 
2000/2/18,16599.16,16130.69,58.1,8.67,100.61,10,1193.53 
2000/2/25,17200.98,16407.15,64.11,8.59,53.01,11,1658.75 
2000/3/3,17285.24,16769.96,64.95,5.53,76.92,12,2176.83 
2000/3/10,17831.86,17044.28,70.37,11.54,136.59,13,1645.92 
2000/3/17,17082.99,17230.09,56.1,1.48,-23,14,1114.87 
2000/3/24,17784.57,17297.47,64.25,4.85,57.69,15,404.27 
2000/3/31,17406.54,17432.03,57.37,12.99,67.76,16,807.38 
2000/4/7,16941.68,17388.81,49.53,9,-106.13,17,-259.30 
2000/4/14,16142.76,17198.4,38.65,6.85,-128.2,18,-1142.48 
2000/4/21,15367.14,16787.61,30.77,-5.06,-159.44,19,-2464.72 
2000/4/28,15519.3,16527,33.94,-2.81,-87.72,20,-1563.69 
2000/5/12,15111.94,15725.24,29.3,-8.96,-83.64,21,-2294.60 
2000/5/19,14478.26,15314.67,22.81,-15.83,-114.89,22,-2463.42 
2000/5/26,13722.7,14911.33,17.32,-20.61,-157.99,23,-2420.06 
2000/6/2,15284.1,14897.49,48.22,-14.29,-15.86,24,-83.04 
2000/6/9,16120.26,14997.65,58.25,-5.64,133.14,25,600.96 
2000/6/16,16434.38,15191.94,61.6,-7.59,110.19,26,1165.74 
2000/6/23,15738.08,15296.3,50.76,-9.59,61.2,27,626.14 
2000/6/30,16155.78,15575.88,56.29,-4.64,54.4,28,1677.52 
2000/7/7,16829.96,16093.76,64.11,4.26,105.27,29,3107.26 
2000/7/14,17586.16,16477.44,71.07,14.44,174.29,30,2302.06 
2000/7/21,17920.86,16777.54,73.78,15.47,117.12,31,1800.60 
2000/7/28,17183.93,16902.46,59.17,12.54,50.64,32,749.55 
2000/8/4,17425.7,17183.73,62.12,15.31,18.08,33,1687.62 
