Date,Date2,DateID,Month,Year,Close,SMA,CCI,ROC,RSI
1990/12/31,1990.12,1 ,12.00 ,1990.00 ,3024.00 ,3044.00 ,-4.43 ,6.61 ,52.02 
1991/1/31,1991.1,2 ,1.00 ,1991.00 ,3243.00 ,3011.50 ,96.96 ,17.86 ,62.67 
1991/2/28,1991.2,3 ,2.00 ,1991.00 ,3552.00 ,3089.00 ,163.43 ,20.33 ,72.88 
1991/3/28,1991.3,4 ,3.00 ,1991.00 ,3745.00 ,3253.17 ,133.91 ,24.96 ,77.49 
1991/4/30,1991.4,5 ,4.00 ,1991.00 ,3588.00 ,3352.83 ,85.00 ,21.59 ,66.46 
1991/5/31,1991.5,6 ,5.00 ,1991.00 ,3707.00 ,3476.50 ,76.19 ,18.36 ,70.30 
1991/6/28,1991.6,7 ,6.00 ,1991.00 ,3668.00 ,3583.83 ,34.61 ,11.90 ,67.27 
1991/7/31,1991.7,8 ,7.00 ,1991.00 ,4009.00 ,3711.50 ,164.12 ,16.61 ,77.47 
1991/8/30,1991.8,9 ,8.00 ,1991.00 ,3998.00 ,3785.83 ,107.46 ,29.51 ,76.54 
1991/9/30,1991.9,10 ,9.00 ,1991.00 ,3956.70 ,3821.12 ,76.56 ,43.36 ,72.64 
1991/10/31,1991.10,11 ,10.00 ,1991.00 ,4038.70 ,3896.23 ,91.22 ,35.07 ,75.61 
1991/11/29,1991.11,12 ,11.00 ,1991.00 ,4149.80 ,3970.03 ,133.79 ,39.96 ,79.26 
1991/12/31,1991.12,13 ,12.00 ,1991.00 ,4297.30 ,4074.92 ,124.57 ,42.11 ,83.25 
1992/1/31,1992.1,14 ,1.00 ,1992.00 ,4601.80 ,4173.72 ,152.70 ,41.90 ,88.66 
1992/2/28,1992.2,15 ,2.00 ,1992.00 ,4929.10 ,4328.90 ,142.20 ,38.77 ,91.99 
1992/3/31,1992.3,16 ,3.00 ,1992.00 ,4938.30 ,4492.50 ,108.31 ,31.86 ,92.07 
1992/4/30,1992.4,17 ,4.00 ,1992.00 ,5369.60 ,4714.32 ,102.59 ,49.65 ,94.89 
1992/5/29,1992.5,18 ,5.00 ,1992.00 ,6080.20 ,5036.05 ,151.70 ,64.02 ,97.00 
1992/6/30,1992.6,19 ,6.00 ,1992.00 ,6103.90 ,5337.15 ,111.65 ,66.41 ,97.05 
1992/7/31,1992.7,20 ,7.00 ,1992.00 ,5881.10 ,5550.37 ,66.58 ,46.70 ,82.01 
1992/8/28,1992.8,21 ,8.00 ,1992.00 ,5628.60 ,5666.95 ,4.39 ,40.79 ,67.73 
1992/9/30,1992.9,22 ,9.00 ,1992.00 ,5505.40 ,5761.47 ,-30.80 ,39.14 ,61.46 
1992/10/30,1992.10,23 ,10.00 ,1992.00 ,6190.70 ,5898.32 ,73.65 ,53.28 ,76.18 
1992/11/30,1992.11,24 ,11.00 ,1992.00 ,5810.60 ,5853.38 ,48.95 ,40.02 ,60.74 
1992/12/31,1992.12,25 ,12.00 ,1992.00 ,5512.40 ,5754.80 ,-110.98 ,28.28 ,51.01 
1993/1/29,1993.1,26 ,1.00 ,1993.00 ,5751.40 ,5733.18 ,2.27 ,24.98 ,57.55 
1993/2/26,1993.2,27 ,2.00 ,1993.00 ,6352.00 ,5853.75 ,92.06 ,28.87 ,69.74 
1993/3/31,1993.3,28 ,3.00 ,1993.00 ,6388.90 ,6001.00 ,91.65 ,29.37 ,70.36 
1993/4/30,1993.4,29 ,4.00 ,1993.00 ,6830.50 ,6107.63 ,133.81 ,27.21 ,77.16 
1993/5/31,1993.5,30 ,5.00 ,1993.00 ,7372.20 ,6367.90 ,137.10 ,21.25 ,82.92 
1993/6/30,1993.6,31 ,6.00 ,1993.00 ,7099.30 ,6632.38 ,85.44 ,16.31 ,71.95 
1993/7/30,1993.7,32 ,7.00 ,1993.00 ,6989.00 ,6838.65 ,47.93 ,18.84 ,67.61 
1993/8/31,1993.8,33 ,8.00 ,1993.00 ,7549.70 ,7038.27 ,89.86 ,34.13 ,76.32 
1993/9/30,1993.9,34 ,9.00 ,1993.00 ,7676.20 ,7252.82 ,117.89 ,39.43 ,77.93 
1993/10/29,1993.10,35 ,10.00 ,1993.00 ,9329.10 ,7669.25 ,194.69 ,50.70 ,89.31 
1993/11/30,1993.11,36 ,11.00 ,1993.00 ,9125.20 ,7961.42 ,119.96 ,57.04 ,82.98 
1993/12/31,1993.12,37 ,12.00 ,1993.00 ,11888.40 ,8759.60 ,140.18 ,115.67 ,92.09 
1994/1/31,1994.1,38 ,1.00 ,1994.00 ,11487.00 ,9509.27 ,110.16 ,99.73 ,84.23 
