date,close,t,return
2000/1/1,15532.34,1,
2000/2/1,17169.44,2,.1053994
2000/3/1,17406.54,3,.0138094
2000/4/1,15519.3,4,-.1084213
2000/5/1,14713.86,5,-.0518992
2000/6/1,16155.78,6,.0979974
2000/7/1,16840.98,7,.0424121
2000/8/1,17097.51,8,.0152324
2000/9/1,15648.98,9,-.0847217
2000/10/1,14895.34,10,-.0481591
2000/11/1,13984.39,11,-.0611567
2000/12/1,15095.53,12,.0794558
2001/1/1,16102.35,13,.0666965
2001/2/1,14787.87,14,-.0816328
2001/3/1,12760.64,15,-.1370874
2001/4/1,13386.04,16,.0490101
2001/5/1,13174.41,17,-.0158097
2001/6/1,13042.53,18,-.0100103
2001/7/1,12316.69,19,-.0556518
2001/8/1,11090.48,20,-.0995568
2001/9/1,9950.7,21,-.102771
2001/10/1,10073.97,22,.012388
2001/11/1,11279.25,23,.119643
2001/12/1,11397.21,24,.0104581
2002/1/1,10725.3,25,-.0589539
2002/2/1,10482.55,26,-.0226334
2002/3/1,11032.92,27,.0525035
2002/4/1,11497.58,28,.0421158
2002/5/1,11301.94,29,-.0170157
2002/6/1,10598.55,30,-.0622363
2002/7/1,10267.36,31,-.0312486
2002/8/1,10043.87,32,-.0217671
2002/9/1,9072.21,33,-.0967416
2002/10/1,9441.25,34,.0406781
2002/11/1,10069.87,35,.0665823
2002/12/1,9321.29,36,-.0743386
2003/1/1,9258.95,37,-.0066879
2003/2/1,9122.66,38,-.0147198
2003/3/1,8634.45,39,-.0535162
2003/4/1,8717.22,40,.009586
2003/5/1,9487.38,41,.0883493
2003/6/1,9577.12,42,.0094589
2003/7/1,10134.83,43,.0582336
2003/8/1,10908.99,44,.0763861
2003/9/1,11229.87,45,.0294143
2003/10/1,12190.1,46,.0855067
2003/11/1,12317.47,47,.0104487
2003/12/1,12575.94,48,.0209841
2004/1/1,13289.37,49,.0567297
2004/2/1,13907.03,50,.0464778
2004/3/1,12681.67,51,-.0881109
2004/4/1,11942.96,52,-.0582502
2004/5/1,12198.24,53,.021375
2004/6/1,12285.75,54,.007174
