"","Actual Price","Forecasted Price","Days"
"1",30515.311,30019.5502666017,1966
"2",30560.949,30051.3182548358,1967
"3",30736.48,30083.0368985971,1968
"4",30814.641,30114.7051101095,1969
"5",30899.529,30146.3218016425,1970
"6",31011.41,30177.8858855798,1971
"7",31073.721,30209.3962744883,1972
"8",31120.391,30240.8518811872,1973
"9",31412.539,30272.2516188182,1974
"10",31338.869,30303.5944009139,1975
"11",31904.75,30334.8791414692,1976
"12",31983.41,30366.1047550102,1977
"13",32121.939,30397.2701566662,1978
"14",32254.891,30428.3742622382,1979
"15",32393.41,30459.415988272,1980
"16",32930.699,30490.3942521277,1981
"17",32958.691,30521.3079720514,1982
"18",32654.449,30552.1560672466,1983
"19",33154.121,30582.9374579464,1984
"20",32966.891,30613.6510654841,1985
"21",32607.289,30644.295812366,1986
"22",32887.27,30674.870622343,1987
"23",32642.09,30705.3744204836,1988
"24",32601.779,30735.806133245,1989
"25",32245.221,30766.1646885468,1990
"26",30595.42,30796.4490158425,1991
"27",30323.199,30826.6580461937,1992
"28",30451.27,30856.7907123409,1993
"29",29507.42,30886.8459487782,1994
"30",29459.631,30916.8226918253,1995
"31",29839.529,30946.719879701,1996
"32",30515.6,30976.5364525957,1997
"33",31115.43,31006.2713527456,1998
"34",30873.631,31035.9235245049,1999
"35",31431.891,31065.4919144195,2000
"36",30965.68,31094.9754713007,2001
"37",31267.17,31124.3731462977,2002
"38",31498.6,31153.6838929714,2003
"39",31268.66,31182.9066673676,2004
"40",30844.721,31212.0404280907,2005
"41",31044.25,31241.0841363761,2006
"42",30583.449,31270.0367561647,2007
"43",29886.391,31298.897254175,2008
"44",30510.73,31327.6645999769,2009
"45",30196.92,31356.3377660648,2010
"46",30654.52,31384.9157279306,2011
"47",30996.211,31413.3974641366,2012
"48",31594.33,31441.7819563888,2013
"49",31601.449,31470.0681896092,2014
"50",31435.01,31498.255152009,2015
"51",31541.1,31526.341835161,2016
"52",31501.971,31554.3272340721,2017
"53",31513.76,31582.2103472559,2018
"54",31549.93,31609.9901768048,2019
"55",31414.52,31637.6657284617,2020
"56",31071.051,31665.2360116926,2021
"57",30309.289,31692.7000397583,2022
"58",30548.77,31720.0568297854,2023
"59",30790.83,31747.3054028384,2024
"60",30022.529,31774.4447839902,2025
"61",30093.381,31801.4740023939,2026
"62",30180.1,31828.3920913529,2027
"63",29518.689,31855.1980883923,2028
"64",29844.939,31881.8910353281,2029
"65",30229.58,31908.4699783385,2030
"66",30728.74,31934.9339680326,2031
"67",30897.711,31961.2820595211,2032
"68",30831.279,31987.5133124847,2033
"69",30808.381,32013.6267912437,2034
"70",30315.59,32039.6215648264,2035
"71",30062.75,32065.4967070379,2036
"72",30284.25,32091.2512965281,2037
"73",30708.439,32116.8844168589,2038
"74",30418.33,32142.3951565731,2039
"75",30254.4,32167.7826092601,2040
"76",30636.24,32193.0458736236,2041
"77",30328.15,32218.1840535477,2042
"78",30007.68,32243.1962581632,2043
