Year,Date,Close Price,IV20,IV60,PoR,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
2009,2009/12/9,1095.95,13.84,16.21,0.0037,0.0139,0.0217,0.0215,-0.0006,-0.0669,1
2009,2009/12/10,1102.35,13.88,16.16,0.0058,0.0022,-0.0118,-0.0335,-0.055,-0.0544,1
2009,2009/12/11,1106.41,13.36,16.11,0.0037,-0.0022,-0.0043,0.0074,0.0409,0.0959,1
2009,2009/12/14,1114.11,13.42,16.04,0.007,0.0033,0.0054,0.0098,0.0023,-0.0386,1
2009,2009/12/15,1107.93,12.63,16.09,-0.0055,-0.0125,-0.0158,-0.0212,-0.031,-0.0333,0
2009,2009/12/16,1109.18,12.63,16.05,0.0011,0.0067,0.0192,0.035,0.0562,0.0872,1
2009,2009/12/17,1096.08,13.31,16.24,-0.0118,-0.0129,-0.0196,-0.0388,-0.0738,-0.1299,0
2009,2009/12/18,1102.47,12.58,16,0.0058,0.0176,0.0306,0.0502,0.089,0.1627,1
2009,2009/12/21,1114.05,12.99,16.11,0.0105,0.0047,-0.013,-0.0435,-0.0937,-0.1827,1
2009,2009/12/22,1118.02,12.18,16.12,0.0036,-0.0069,-0.0116,0.0014,0.0449,0.1386,1
2009,2009/12/23,1120.59,12.19,16.1,0.0023,-0.0013,0.0057,0.0173,0.0159,-0.029,1
2009,2009/12/24,1126.48,12.22,16.08,0.0053,0.003,0.0042,-0.0015,-0.0187,-0.0347,1
2009,2009/12/28,1127.78,10.2,15.91,0.0012,-0.0041,-0.0071,-0.0113,-0.0098,0.0089,1
2009,2009/12/29,1126.2,10.22,15.85,-0.0014,-0.0026,0.0015,0.0086,0.0199,0.0297,0
2009,2009/12/30,1126.42,9.43,15.47,0.0002,0.0016,0.0042,0.0026,-0.006,-0.0259,1
2009,2009/12/31,1115.1,10.18,15.62,-0.01,-0.0102,-0.0118,-0.016,-0.0186,-0.0126,0
2010,2010/1/4,1132.99,11.05,15.9,0.016,0.0261,0.0363,0.0482,0.0642,0.0828,1
2010,2010/1/5,1136.52,10.97,15.88,0.0031,-0.0129,-0.039,-0.0754,-0.1235,-0.1877,1
2010,2010/1/6,1137.14,10.88,15.86,0.0005,-0.0026,0.0104,0.0494,0.1247,0.2483,1
2010,2010/1/7,1141.69,9.97,15.86,0.004,0.0035,0.006,-0.0043,-0.0537,-0.1784,1
2010,2010/1/8,1144.98,9.96,15.49,0.0029,-0.0011,-0.0046,-0.0106,-0.0063,0.0474,1
2010,2010/1/11,1146.98,9.87,15.48,0.0017,-0.0011,0,0.0046,0.0152,0.0214,1
2010,2010/1/12,1136.22,10.63,15.51,-0.0094,-0.0111,-0.01,-0.01,-0.0145,-0.0297,0
2010,2010/1/13,1145.68,10.74,15.49,0.0083,0.0177,0.0288,0.0388,0.0488,0.0633,1
2010,2010/1/14,1148.46,10.42,15.42,0.0024,-0.0059,-0.0236,-0.0524,-0.0913,-0.1401,1
2010,2010/1/15,1136.03,11.35,15.48,-0.0108,-0.0132,-0.0074,0.0163,0.0687,0.16,0
2010,2010/1/19,1150.23,11.13,15.42,0.0125,0.0233,0.0366,0.0439,0.0277,-0.041,1
2010,2010/1/20,1138.04,11.59,15.38,-0.0106,-0.0231,-0.0464,-0.083,-0.1269,-0.1546,0
2010,2010/1/21,1116.48,13.66,15.92,-0.0189,-0.0083,0.0148,0.0612,0.1442,0.2711,0
2010,2010/1/22,1091.76,15.83,16.08,-0.0221,-0.0032,0.0052,-0.0096,-0.0708,-0.2149,0
2010,2010/1/25,1096.78,15.79,15.45,0.0046,0.0267,0.0299,0.0248,0.0344,0.1052,1
2010,2010/1/26,1092.17,15.41,14.23,-0.0042,-0.0088,-0.0355,-0.0655,-0.0903,-0.1246,0
2010,2010/1/27,1097.5,15.55,14.21,0.0049,0.0091,0.0179,0.0534,0.1189,0.2092,1
2010,2010/1/28,1084.53,15.99,14.45,-0.0118,-0.0167,-0.0258,-0.0437,-0.0971,-0.216,0
2010,2010/1/29,1073.87,16.21,14.61,-0.0098,0.002,0.0187,0.0445,0.0881,0.1852,0
2010,2010/2/1,1089.19,16.94,14.37,0.0143,0.0241,0.0221,0.0034,-0.041,-0.1292,1
2010,2010/2/2,1103.32,16.57,14.6,0.013,-0.0013,-0.0254,-0.0475,-0.0509,-0.0099,1
2010,2010/2/3,1097.28,16.55,13.93,-0.0055,-0.0184,-0.0172,0.0082,0.0557,0.1066,0
2010,2010/2/4,1063.11,19.59,15.41,-0.0311,-0.0257,-0.0072,0.0099,0.0017,-0.054,0
2010,2010/2/5,1066.19,19.54,15.38,0.0029,0.034,0.0597,0.0669,0.057,0.0553,1
2010,2010/2/8,1056.74,19.48,15.34,-0.0089,-0.0118,-0.0458,-0.1055,-0.1724,-0.2294,0
2010,2010/2/9,1070.52,20.31,15.54,0.013,0.0219,0.0337,0.0795,0.185,0.3574,1
2010,2010/2/10,1068.13,20.19,15.23,-0.0022,-0.0153,-0.0372,-0.0708,-0.1503,-0.3353,0
2010,2010/2/11,1078.47,20.29,15.38,0.0097,0.0119,0.0272,0.0644,0.1352,0.2855,1
